@RELATION pacman-data-training

	@ATTRIBUTE pacman_positionX NUMERIC
	@ATTRIBUTE pacman_positionY NUMERIC
	@ATTRIBUTE legal_north {0,1}
	@ATTRIBUTE legal_south {0,1}
	@ATTRIBUTE legal_east {0,1}
	@ATTRIBUTE legal_west {0,1}
	@ATTRIBUTE living_ghost1 {0,1}
	@ATTRIBUTE living_ghost2 {0,1}
	@ATTRIBUTE living_ghost3 {0,1}
	@ATTRIBUTE living_ghost4 {0,1}
	@ATTRIBUTE ghost1_positionX NUMERIC
	@ATTRIBUTE ghost1_positionY NUMERIC
	@ATTRIBUTE ghost2_positionX NUMERIC
	@ATTRIBUTE ghost2_positionY NUMERIC
	@ATTRIBUTE ghost3_positionX NUMERIC
	@ATTRIBUTE ghost3_positionY NUMERIC
	@ATTRIBUTE ghost4_positionX NUMERIC
	@ATTRIBUTE ghost4_positionY NUMERIC
	@ATTRIBUTE ghost1_distance NUMERIC
	@ATTRIBUTE ghost2_distance NUMERIC
	@ATTRIBUTE ghost3_distance NUMERIC
	@ATTRIBUTE ghost4_distance NUMERIC
	@ATTRIBUTE food_distance NUMERIC
	@ATTRIBUTE food_position_x NUMERIC
	@ATTRIBUTE food_position_y NUMERIC
	@ATTRIBUTE closest_food_dirx {West,East,North,South,Stop}
	@ATTRIBUTE closest_food_diry {West,East,North,South,Stop}
	@ATTRIBUTE score NUMERIC
	@ATTRIBUTE score_siguiente NUMERIC
	@ATTRIBUTE closest_ghost_x NUMERIC
	@ATTRIBUTE closest_ghost_y NUMERIC
	@ATTRIBUTE closest_ghost_distance NUMERIC
	@ATTRIBUTE closest_ghost_dirx {West,East,North,South,Stop}
	@ATTRIBUTE closest_ghost_diry {West,East,North,South,Stop}
	@ATTRIBUTE next_move {West,East,North,South,Stop}

@DATA
17,6,0,1,1,1,0,0,0,1,1,1,3,1,5,1,27,11,0,0,0,16,0,0,0,West,South,538,537,1,1,0,West,South,East
18,6,0,1,1,1,0,0,0,1,1,1,3,1,5,1,27,12,0,0,0,14,0,0,0,West,South,537,536,1,1,0,West,South,East
19,6,0,1,1,1,0,0,0,1,1,1,3,1,5,1,27,11,0,0,0,14,0,0,0,West,South,536,535,1,1,0,West,South,East
20,6,0,1,1,1,0,0,0,1,1,1,3,1,5,1,28,11,0,0,0,12,0,0,0,West,South,535,534,1,1,0,West,South,East
21,6,0,0,1,1,0,0,0,1,1,1,3,1,5,1,28,10,0,0,0,10,0,0,0,West,South,534,533,1,1,0,West,South,East
22,6,0,0,1,1,0,0,0,1,1,1,3,1,5,1,27,10,0,0,0,10,0,0,0,West,South,533,532,1,1,0,West,South,East
23,6,1,1,1,1,0,0,0,1,1,1,3,1,5,1,27,11,0,0,0,8,0,0,0,West,South,532,531,1,1,0,West,South,East
24,6,1,1,1,1,0,0,0,1,1,1,3,1,5,1,27,10,0,0,0,7,0,0,0,West,South,531,530,1,1,0,West,South,East
25,6,1,1,1,1,0,0,0,1,1,1,3,1,5,1,27,10,0,0,0,7,0,0,0,West,South,530,529,1,1,0,West,South,North
25,7,1,1,1,1,0,0,0,1,1,1,3,1,5,1,27,11,0,0,0,7,0,0,0,West,South,529,528,1,1,0,West,South,North
25,8,1,1,1,1,0,0,0,1,1,1,3,1,5,1,27,12,0,0,0,7,0,0,0,West,South,528,527,1,1,0,West,South,East
26,8,1,1,1,1,0,0,0,1,1,1,3,1,5,1,28,12,0,0,0,7,0,0,0,West,South,527,526,1,1,0,West,South,North
26,9,1,1,1,1,0,0,0,1,1,1,3,1,5,1,28,13,0,0,0,6,0,0,0,West,South,526,525,1,1,0,West,South,North
26,10,1,1,1,1,0,0,0,1,1,1,3,1,5,1,28,13,0,0,0,4,0,0,0,West,South,525,524,1,1,0,West,South,North
26,11,1,1,1,1,0,0,0,1,1,1,3,1,5,1,28,12,0,0,0,4,0,0,0,West,South,524,523,1,1,0,West,South,North
26,12,1,1,1,0,0,0,0,1,1,1,3,1,5,1,28,13,0,0,0,2,0,0,0,West,South,523,522,1,1,0,West,South,East
27,12,1,1,1,1,0,0,0,1,1,1,3,1,5,1,27,13,0,0,0,2,0,0,0,West,South,522,521,1,1,0,West,South,East
28,12,1,1,0,1,0,0,0,1,1,1,3,1,5,1,26,13,0,0,0,4,0,0,0,West,South,521,520,1,1,0,West,South,North
28,13,1,1,0,1,0,0,0,1,1,1,3,1,5,1,26,14,0,0,0,4,0,0,0,West,South,520,519,1,1,0,West,South,West
27,13,1,1,1,1,0,0,0,1,1,1,3,1,5,1,26,15,0,0,0,4,0,0,0,West,South,519,518,1,1,0,West,South,West
26,13,1,1,1,1,0,0,0,1,1,1,3,1,5,1,25,15,0,0,0,3,0,0,0,West,South,518,517,1,1,0,West,South,North
26,14,1,1,1,1,0,0,0,1,1,1,3,1,5,1,25,15,0,0,0,3,0,0,0,West,South,517,516,1,1,0,West,South,West
25,14,1,1,1,1,0,0,0,1,1,1,3,1,5,1,25,16,0,0,0,3,0,0,0,West,South,516,515,1,1,0,West,South,North
25,15,1,1,1,1,0,0,0,1,1,1,3,1,5,1,26,16,0,0,0,3,0,0,0,West,South,515,514,1,1,0,West,South,North
25,16,1,1,1,1,0,0,0,1,1,1,3,1,5,1,27,16,0,0,0,3,0,0,0,West,South,514,513,1,1,0,West,South,East
26,16,1,1,1,1,0,0,0,1,1,1,3,1,5,1,28,16,0,0,0,1,0,0,0,West,South,513,712,1,1,0,West,South,East
1,11,0,1,1,0,1,1,1,1,5,5,7,9,9,11,14,6,10,8,8,19,14,10,6,East,South,-1,-2,7,9,8,East,South,East
2,11,0,0,1,1,1,1,1,1,5,5,7,8,9,11,14,5,9,8,7,19,13,10,6,East,South,-2,-3,9,11,7,East,Stop,East
3,11,0,0,1,1,1,1,1,1,4,5,7,9,8,11,15,5,7,6,5,18,12,10,6,East,South,-3,-4,8,11,5,East,Stop,East
4,11,0,0,1,1,1,1,1,1,5,5,7,9,7,11,15,5,7,5,3,17,11,10,6,East,South,-4,-5,7,11,3,East,Stop,East
5,11,0,1,1,1,1,1,1,1,5,4,7,9,8,11,15,5,7,4,3,16,10,10,6,East,South,-5,-6,8,11,3,East,Stop,East
6,11,0,1,1,1,1,1,1,1,4,4,7,8,8,11,15,5,9,4,2,14,9,10,6,East,South,-6,-7,8,11,2,East,Stop,East
7,11,0,0,1,1,1,1,1,1,4,3,7,8,8,11,14,5,11,3,1,14,8,10,6,East,South,-7,192,8,11,1,East,Stop,East
8,11,0,0,1,1,1,1,0,1,4,4,8,8,5,1,14,4,11,3,0,13,7,10,6,East,South,192,191,8,8,3,Stop,South,East
9,11,0,0,1,1,1,1,0,1,4,4,8,8,5,1,14,4,12,4,0,11,6,10,6,East,South,191,190,8,8,4,West,South,East
10,11,0,1,1,1,1,1,0,1,4,4,8,9,5,1,13,4,13,4,0,11,5,10,6,Stop,South,190,189,8,9,4,West,South,East
11,11,0,1,1,1,1,1,0,1,4,3,9,9,5,1,13,3,15,4,0,9,4,14,10,East,South,189,188,9,9,4,West,South,East
12,11,0,0,1,1,1,1,0,1,4,3,9,8,5,1,13,4,16,6,0,7,3,14,10,East,South,188,187,9,8,6,West,South,East
